feature,mean_abs_shap
category_target_mean,1.9694688867128078
brand_target_mean,1.6135226919491337
item_time_alive,0.24169276917337515
svd_1,0.19313530686795868
name_rus_len,0.18829494163938162
brand_name_len,0.16923886568545307
PriceDiscounted,0.14340591209424802
dist_to_fraud_centroid,0.1410990043243211
ItemVarietyCount,0.11436773912740701
svd_10,0.08964630804151813
rating_total,0.08670653689554036
ExemplarReturnedValueTotal7,0.07252043304374439
svd_16,0.06991237963681915
svd_12,0.06918810850811383
svd_31,0.06619743543205893
clip_411,0.060272457023320694
description_len,0.05918932611678751
rating_avg,0.05860906753748859
clip_82,0.055488404200255685
clip_93,0.055007004479980554
